-0.0238416 	-2.28308 	-0.0325872 	0
-0.0228026 	-2.12034 	-0.0550218 	0
-0.0217637 	-1.9499 	-0.0780677 	0
-0.0207248 	-1.76739 	-0.101578 	7.68218e-20
-0.0196858 	-1.57027 	-0.125336 	-1.38872e-19
-0.0186469 	-1.3569 	-0.149396 	6.50043e-20
-0.0176079 	-1.12609 	-0.173809 	0
-0.016569 	-0.876775 	-0.198624 	-6.14123e-20
-0.01553 	-0.607964 	-0.223874 	6.05979e-20
-0.0144911 	-0.318627 	-0.24958 	0
-0.0134522 	-0.00765152 	-0.275745 	-1.22984e-19
-0.0124132 	0.326136 	-0.302318 	1.20927e-19
-0.0113743 	0.683964 	-0.329179 	-1.19367e-19
-0.0103353 	1.06736 	-0.356203 	1.18734e-19
-0.00929639 	1.47802 	-0.383183 	0
-0.00825744 	1.9178 	-0.409839 	-1.17482e-19
-0.0072185 	2.38865 	-0.435734 	1.15971e-19
-0.00626648 	2.85428 	-0.458425 	0
-0.00541961 	3.29271 	-0.477308 	1.15908e-19
-0.00460766 	3.73625 	-0.493894 	-1.32092e-21
-0.00382773 	4.18411 	-0.508036 	-1.18885e-19
-0.00307717 	4.63537 	-0.519598 	1.18871e-19
-0.00235354 	5.08885 	-0.528471 	-1.22341e-19
-0.00165461 	5.54311 	-0.53457 	-6.16182e-20
-0.000978319 	5.99634 	-0.537839 	6.40289e-20
-0.000322795 	6.44628 	-0.538259 	0
0.000300416 	6.88222 	-0.535891 	0
0.000911115 	7.30975 	-0.530891 	0
0.00154256 	7.74644 	-0.522812 	0
0.00219688 	8.18415 	-0.511374 	-1.55592e-19
0.00287644 	8.60857 	-0.496477 	1.65066e-19
0.00358384 	8.9957 	-0.478391 	1.68464e-19
0.00432193 	9.31032 	-0.458241 	-1.7225e-19
0.00506543 	9.51491 	-0.438509 	3.47913e-19
0.00581735 	9.61994 	-0.420751 	-5.34779e-21
0.00661072 	9.66698 	-0.403892 	-3.05246e-19
0.00745244 	9.68647 	-0.387152 	0
0.00835056 	9.69355 	-0.369938 	0
0.00931447 	9.69466 	-0.351918 	-2.37326e-19
0.0103551 	9.69276 	-0.332831 	4.44818e-19
0.0114853 	9.68937 	-0.312424 	-2.07771e-19
0.0127199 	9.68529 	-0.290413 	-1.87618e-19
0.0140764 	9.68085 	-0.266495 	1.7508e-19
0.0155322 	9.6758 	-0.241092 	0
0.0169406 	9.66941 	-0.216507 	0
0.0181953 	9.66004 	-0.194543 	-1.00555e-19
0.0193131 	9.64427 	-0.174644 	9.27338e-22
0.020309 	9.61594 	-0.156356 	1.29057e-19
0.0211962 	9.56233 	-0.139071 	-7.38863e-20
0.0219866 	9.45496 	-0.121876 	8.61582e-20
0.0226908 	9.23428 	-0.103252 	0
0.0233181 	8.81597 	-0.0816832 	0
0.023877 	8.16871 	-0.058457 	0
0.024375 	7.3406 	-0.0375634 	0
